Q1,Q2,prediction(in %)
Why do Swiss despise Asians?,Why do technical employees despise sales people so much?,32.6
What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,51.47
What are the types of immunity?,What are the different types of immunity in our body?,52.43
What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,38.66
What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,37.06
What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",20.96
What are the questions should not ask on Quora?,Which question should I ask on Quora?,37.89
When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",22.05
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,20.96
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,61.05
